Địa điểm quan trắc;Triều;Ký hiệu;Tên viết tắt;Địa chỉ (tiếng Việt);Tên nơi lấy mẫu;Tên vị trí;Tên vị trí mẫu lặp;Tên vị trí mẫu trắng hiện trường;Tên vị trí mẫu trắng vận chuyển;Tên vị trí mẫu trắng thiết bị
Lòng Tàu 1;Triều Lên;HCM_NM_LT1;HCM_NM_LT1_L;Xã Cần Giờ -Sau hợp lưu sông Lòng Tàu, sông Đồng Tranh, sông Dừa 2 km.;Lòng Tàu 1 - HCM_NM_LT1 - Triều Lên;Lòng Tàu 1 - Triều Lên;Lòng Tàu 1 - Triều Lên (QC - Mẫu lặp hiện trường);Lòng Tàu 1 - Triều Lên (QC - Mẫu trắng hiện trường);Lòng Tàu 1 - Triều Lên (QC - Mẫu trắng vận chuyển);Lòng Tàu 1 - Triều Lên (QC - Mẫu trắng thiết bị)
Lòng Tàu 1;Triều Xuống;HCM_NM_LT1;HCM_NM_LT1_X;Xã Cần Giờ -Sau hợp lưu sông Lòng Tàu, sông Đồng Tranh, sông Dừa 2 km.;Lòng Tàu 1 - HCM_NM_LT1 - Triều Xuống;Lòng Tàu 1 - Triều Xuống;Lòng Tàu 1 - Triều Xuống (QC - Mẫu lặp hiện trường);Lòng Tàu 1 - Triều Xuống (QC - Mẫu trắng hiện trường);Lòng Tàu 1 - Triều Xuống (QC - Mẫu trắng vận chuyển);Lòng Tàu 1 - Triều Xuống (QC - Mẫu trắng thiết bị)
Lương Bèo;Triều Lên;HCM_NM_LB;HCM_NM_LB_L;Tại khu vực cầu Lương Bèo;Lương Bèo - HCM_NM_LB - Triều Lên;Lương Bèo - Triều Lên;Lương Bèo - Triều Lên (QC - Mẫu lặp hiện trường);Lương Bèo - Triều Lên (QC - Mẫu trắng hiện trường);Lương Bèo - Triều Lên (QC - Mẫu trắng vận chuyển);Lương Bèo - Triều Lên (QC - Mẫu trắng thiết bị)
Lương Bèo;Triều Xuống;HCM_NM_LB;HCM_NM_LB_X;Tại khu vực cầu Lương Bèo;Lương Bèo - HCM_NM_LB - Triều Xuống;Lương Bèo - Triều Xuống;Lương Bèo - Triều Xuống (QC - Mẫu lặp hiện trường);Lương Bèo - Triều Xuống (QC - Mẫu trắng hiện trường);Lương Bèo - Triều Xuống (QC - Mẫu trắng vận chuyển);Lương Bèo - Triều Xuống (QC - Mẫu trắng thiết bị)
Mũi Đèn Đỏ;Triều Lên;HCM_NM_MĐĐ;HCM_NM_MĐĐ_L;Mũi Đèn Đỏ, Phường Phú Thuận (Cách hợp lưu của Sông Đồng Nai với sông Sài Gòn 2 km).;Mũi Đèn Đỏ - HCM_NM_MĐĐ - Triều Lên;Mũi Đèn Đỏ - Triều Lên;Mũi Đèn Đỏ - Triều Lên (QC - Mẫu lặp hiện trường);Mũi Đèn Đỏ - Triều Lên (QC - Mẫu trắng hiện trường);Mũi Đèn Đỏ - Triều Lên (QC - Mẫu trắng vận chuyển);Mũi Đèn Đỏ - Triều Lên (QC - Mẫu trắng thiết bị)
Mũi Đèn Đỏ;Triều Xuống;HCM_NM_MĐĐ;HCM_NM_MĐĐ_X;Mũi Đèn Đỏ, Phường Phú Thuận (Cách hợp lưu của Sông Đồng Nai với sông Sài Gòn 2 km).;Mũi Đèn Đỏ - HCM_NM_MĐĐ - Triều Xuống;Mũi Đèn Đỏ - Triều Xuống;Mũi Đèn Đỏ - Triều Xuống (QC - Mẫu lặp hiện trường);Mũi Đèn Đỏ - Triều Xuống (QC - Mẫu trắng hiện trường);Mũi Đèn Đỏ - Triều Xuống (QC - Mẫu trắng vận chuyển);Mũi Đèn Đỏ - Triều Xuống (QC - Mẫu trắng thiết bị)
Ngã Bảy;Triều Lên;HCM_NM_N7;HCM_NM_N7_L;Xã Cần Giờ - Gần cửa sông Lòng Tàu 2 km.;Ngã Bảy - HCM_NM_N7 - Triều Lên;Ngã Bảy - Triều Lên;Ngã Bảy - Triều Lên (QC - Mẫu lặp hiện trường);Ngã Bảy - Triều Lên (QC - Mẫu trắng hiện trường);Ngã Bảy - Triều Lên (QC - Mẫu trắng vận chuyển);Ngã Bảy - Triều Lên (QC - Mẫu trắng thiết bị)
Ngã Bảy;Triều Xuống;HCM_NM_N7;HCM_NM_N7_X;Xã Cần Giờ - Gần cửa sông Lòng Tàu 2 km.;Ngã Bảy - HCM_NM_N7 - Triều Xuống;Ngã Bảy - Triều Xuống;Ngã Bảy - Triều Xuống (QC - Mẫu lặp hiện trường);Ngã Bảy - Triều Xuống (QC - Mẫu trắng hiện trường);Ngã Bảy - Triều Xuống (QC - Mẫu trắng vận chuyển);Ngã Bảy - Triều Xuống (QC - Mẫu trắng thiết bị)
Nhà Bè;Triều Lên;HCM_NM_NB;HCM_NM_NB_L;Phà Bình Khánh, xã Nhà Bè (Thượng lưu ngã ba Đồng Nai Lòng Tàu 600 m).;Nhà Bè - HCM_NM_NB - Triều Lên;Nhà Bè - Triều Lên;Nhà Bè - Triều Lên (QC - Mẫu lặp hiện trường);Nhà Bè - Triều Lên (QC - Mẫu trắng hiện trường);Nhà Bè - Triều Lên (QC - Mẫu trắng vận chuyển);Nhà Bè - Triều Lên (QC - Mẫu trắng thiết bị)
Nhà Bè;Triều Xuống;HCM_NM_NB;HCM_NM_NB_X;Phà Bình Khánh, xã Nhà Bè (Thượng lưu ngã ba Đồng Nai Lòng Tàu 600 m).;Nhà Bè - HCM_NM_NB - Triều Xuống;Nhà Bè - Triều Xuống;Nhà Bè - Triều Xuống (QC - Mẫu lặp hiện trường);Nhà Bè - Triều Xuống (QC - Mẫu trắng hiện trường);Nhà Bè - Triều Xuống (QC - Mẫu trắng vận chuyển);Nhà Bè - Triều Xuống (QC - Mẫu trắng thiết bị)
