ViTri;KyHIeu;MoTa;LON;LAT
TBNM9;HCM_NM_TBNM9;Kênh 15 – Thượng nguồn - Cách bãi số 3 khoảng 500 m ngược hướng dòng chảy;1.213.811,71;576.609,69
TBNM11;HCM_NM_TBNM11;Kênh 16 – giáp bãi chôn lấp số 3 (đầu kênh);1.212.907,13;574.687,22
TBNM14;HCM_NM_TBNM14;Kênh 17 – Đầu kênh;1.213.984,85;574.225,13
TBNM15;HCM_NM_TBNM15;Kênh 18 – Cách nhà máy Vietstar 300m về hướng ngược dòng chảy.;1.213.810,14;572.907,33
ĐPNM1;HCM_NM_ĐPNM1;Rạch Ngã Cạy, trước cổng khu xử lý của công ty VWS;1.179.695,05;599.863,47
ĐPNM4;HCM_NM_ĐPNM4;Rạch Chiếu – cách khu vực hút bùn của Công ty TNHH Công nghệ sinh học Sài Gòn xanh 500 m về hướng Tây;1.181.124,96;599.257,87
ĐPNM5;HCM_NM_ĐPNM5;Rạch Chiếu – khu vực hút bùn của Công ty TNHH Công nghệ sinh học Sài Gòn xanh;1.181.024,88;599.805,58
ĐPNM8;HCM_NM_ĐPNM8;Sông Cần Giuộc – cách ngã 3 Rạch Chiếu và sông Cần Giuộc 200 m về phía thượng nguồn;1.180.076,58;601.347,84
GCNM2;HCM_NM_GCNM2;Rạch nước đen – cách cống xả 500 m thượng nguồn. ;1.194.213,82;593.143,17
GCNM3;HCM_NM_GCNM3;Rạch nước đen – cách cống xả 500m hạ nguồn.;1.193.653,88;592.873,35
