key,Ngày,idx,Nơi thực hiện,Vị trí quan trắc,Ký hiệu,ts
kehoach|24,5,24,Cầu Mống,Triều Lên,HCM_NM_CMo_L,2026-05-02T15:46:02
kehoach|24,5,24,Cầu Mống,Triều Lên,HCM_NM_CMo_L,2026-05-02T15:46:11
kehoach|25,5,25,Tân Thuận,Triều Lên,HCM_NM_TThu_L,2026-05-02T15:46:20
kehoach|25,5,25,Tân Thuận,Triều Lên,HCM_NM_TThu_L,2026-05-02T15:46:29
kehoach|25,5,25,Tân Thuận,Triều Lên,HCM_NM_TThu_L,2026-05-02T15:46:38
kehoach|26,5,26,Kênh Tẻ,Triều Lên,HCM_NM_KT_L,2026-05-02T15:46:46
kehoach|26,5,26,Kênh Tẻ,Triều Lên,HCM_NM_KT_L,2026-05-02T15:46:55
kehoach|26,5,26,Kênh Tẻ,Triều Lên,HCM_NM_KT_L,2026-05-02T15:47:04
kehoach|27,5,27,Cầu Mống,Triều Xuống,HCM_NM_CMo_X,2026-05-02T15:47:13
kehoach|27,5,27,Cầu Mống,Triều Xuống,HCM_NM_CMo_X,2026-05-02T15:47:22
kehoach|27,5,27,Cầu Mống,Triều Xuống,HCM_NM_CMo_X,2026-05-02T15:47:31
kehoach|28,5,28,Tân Thuận,Triều Xuống,HCM_NM_TThu_X,2026-05-02T15:47:41
kehoach|28,5,28,Tân Thuận,Triều Xuống,HCM_NM_TThu_X,2026-05-02T15:47:50
kehoach|28,5,28,Tân Thuận,Triều Xuống,HCM_NM_TThu_X,2026-05-02T15:47:58
kehoach|29,5,29,Kênh Tẻ,Triều Xuống,HCM_NM_KT_X,2026-05-02T15:48:07
kehoach|29,5,29,Kênh Tẻ,Triều Xuống,HCM_NM_KT_X,2026-05-02T15:48:16
kehoach|29,5,29,Kênh Tẻ,Triều Xuống,HCM_NM_KT_X,2026-05-02T15:48:25
kehoach|30,6,30,Kênh N46,Triều Lên,HCM_NM_N46_L,2026-05-02T15:48:38
kehoach|30,6,30,Kênh N46,Triều Lên,HCM_NM_N46_L,2026-05-02T15:48:46
kehoach|30,6,30,Kênh N46,Triều Lên,HCM_NM_N46_L,2026-05-02T15:48:55
kehoach|31,6,31,Tân Phú Trung,Triều Lên,HCM_NM_TPT_L,2026-05-02T15:49:04
kehoach|31,6,31,Tân Phú Trung,Triều Lên,HCM_NM_TPT_L,2026-05-02T15:49:13
kehoach|31,6,31,Tân Phú Trung,Triều Lên,HCM_NM_TPT_L,2026-05-02T15:49:21
kehoach|32,6,32,TC18A,Triều Lên,HCM_NM_TC18A_L,2026-05-02T15:49:30
kehoach|32,6,32,TC18A,Triều Lên,HCM_NM_TC18A_L,2026-05-02T15:49:39
kehoach|32,6,32,TC18A,Triều Lên,HCM_NM_TC18A_L,2026-05-02T15:49:48
kehoach|33,6,33,An Hạ 1,Triều Lên,HCM_NM_AH1_L,2026-05-02T15:49:56
kehoach|33,6,33,An Hạ 1,Triều Lên,HCM_NM_AH1_L,2026-05-02T15:50:05
kehoach|33,6,33,An Hạ 1,Triều Lên,HCM_NM_AH1_L,2026-05-02T15:50:14
kehoach|34,6,34,Kênh N46,Triều Xuống,HCM_NM_N46_X,2026-05-02T15:50:23
kehoach|34,6,34,Kênh N46,Triều Xuống,HCM_NM_N46_X,2026-05-02T15:50:32
kehoach|34,6,34,Kênh N46,Triều Xuống,HCM_NM_N46_X,2026-05-02T15:50:41
kehoach|35,6,35,Tân Phú Trung,Triều Xuống,HCM_NM_TPT_X,2026-05-02T15:50:50
kehoach|35,6,35,Tân Phú Trung,Triều Xuống,HCM_NM_TPT_X,2026-05-02T15:50:58
kehoach|35,6,35,Tân Phú Trung,Triều Xuống,HCM_NM_TPT_X,2026-05-02T15:51:07
kehoach|36,6,36,TC18A,Triều Xuống,HCM_NM_TC18A_X,2026-05-02T15:51:17
kehoach|36,6,36,TC18A,Triều Xuống,HCM_NM_TC18A_X,2026-05-02T15:51:26
kehoach|36,6,36,TC18A,Triều Xuống,HCM_NM_TC18A_X,2026-05-02T15:51:34
kehoach|37,6,37,An Hạ 1,Triều Xuống,HCM_NM_AH1_X,2026-05-02T15:51:43
kehoach|37,6,37,An Hạ 1,Triều Xuống,HCM_NM_AH1_X,2026-05-02T15:51:52
kehoach|37,6,37,An Hạ 1,Triều Xuống,HCM_NM_AH1_X,2026-05-02T15:52:00
kehoach|38,7,38,Cầu Đường A,Triều Lên,HCM_NM_CĐA_L,2026-05-02T15:52:13
kehoach|38,7,38,Cầu Đường A,Triều Lên,HCM_NM_CĐA_L,2026-05-02T15:52:21
kehoach|38,7,38,Cầu Đường A,Triều Lên,HCM_NM_CĐA_L,2026-05-02T15:52:30
kehoach|39,7,39,Trung Tâm,Triều Lên,HCM_NM_TrT_L,2026-05-02T15:52:39
kehoach|39,7,39,Trung Tâm,Triều Lên,HCM_NM_TrT_L,2026-05-02T15:52:48
kehoach|39,7,39,Trung Tâm,Triều Lên,HCM_NM_TrT_L,2026-05-02T15:52:56
kehoach|40,7,40,Nước Lên,Triều Lên,HCM_NM_NL_L,2026-05-02T15:53:05
kehoach|40,7,40,Nước Lên,Triều Lên,HCM_NM_NL_L,2026-05-02T15:53:14
kehoach|40,7,40,Nước Lên,Triều Lên,HCM_NM_NL_L,2026-05-02T15:53:22
kehoach|41,7,41,Lương Bèo,Triều Lên,HCM_NM_LB_L,2026-05-02T15:53:31
kehoach|41,7,41,Lương Bèo,Triều Lên,HCM_NM_LB_L,2026-05-02T15:53:40
kehoach|41,7,41,Lương Bèo,Triều Lên,HCM_NM_LB_L,2026-05-02T15:53:49
