key,Ngày,idx,Nơi thực hiện,Vị trí quan trắc,Ký hiệu,ts
kehoach|24,12,24,Hải Đức - HCM_NM_HĐ - Triều Xuống,Hải Đức - Triều Xuống,HCM_NM_HĐ.26.05.12.X,2026-05-10T22:51:21
kehoach|25,12,25,Điện Biên Phủ - HCM_NM_ĐBP - Triều Xuống,Điện Biên Phủ - Triều Xuống,HCM_NM_ĐBP.26.05.12.X,2026-05-10T22:51:34
kehoach|26,12,26,Bùi Hữu Nghĩa - HCM_NM_BHN - Triều Xuống,Bùi Hữu Nghĩa - Triều Xuống,HCM_NM_BHN.26.05.12.X,2026-05-10T22:51:46
kehoach|27,12,27,Cầu Đỏ - HCM_NM_CĐ - Triều Lên,Cầu Đỏ - Triều Lên,HCM_NM_CĐ.26.05.12.L,2026-05-10T22:51:59
kehoach|28,12,28,Thị Nghè 2 - HCM_NM_TN2 - Triều Lên,Thị Nghè 2 - Triều Lên,HCM_NM_TN2.26.05.12.L,2026-05-10T22:52:12
kehoach|29,12,29,Bùi Đình Túy - HCM_NM_BĐT - Triều Lên,Bùi Đình Túy - Triều Lên,HCM_NM_BĐT.26.05.12.L,2026-05-10T22:52:25
kehoach|30,12,30,Cầu Văn Thánh - HCM_NM_RVT - Triều Lên,Cầu Văn Thánh - Triều Lên,HCM_NM_RVT.26.05.12.L,2026-05-10T22:52:38
kehoach|31,12,31,Cầu Văn Thánh 2 - HCM_NM_RVT2 - Triều Lên,Cầu Văn Thánh 2 - Triều Lên,HCM_NM_RVT2.26.05.12.L,2026-05-10T22:52:51
kehoach|32,12,32,Cầu Đỏ - HCM_NM_CĐ - Triều Xuống,Cầu Đỏ - Triều Xuống,HCM_NM_CĐ.26.05.12.X,2026-05-10T22:53:04
kehoach|33,12,33,Thị Nghè 2 - HCM_NM_TN2 - Triều Xuống,Thị Nghè 2 - Triều Xuống,HCM_NM_TN2.26.05.12.X,2026-05-10T22:53:16
kehoach|34,12,34,Bùi Đình Túy - HCM_NM_BĐT - Triều Xuống,Bùi Đình Túy - Triều Xuống,HCM_NM_BĐT.26.05.12.X,2026-05-10T22:53:29
kehoach|35,12,35,Cầu Văn Thánh - HCM_NM_RVT - Triều Xuống,Cầu Văn Thánh - Triều Xuống,HCM_NM_RVT.26.05.12.X,2026-05-10T22:53:42
kehoach|36,12,36,Cầu Văn Thánh 2 - HCM_NM_RVT2 - Triều Xuống,Cầu Văn Thánh 2 - Triều Xuống,HCM_NM_RVT2.26.05.12.X,2026-05-10T22:53:55
kehoach|37,12,37,Hải Đức - HCM_NM_HĐ - Triều Xuống,Hải Đức - Triều Xuống (QC - Mẫu lặp),HCM_NM_HĐ.26.05.12.X.05,2026-05-10T22:54:08
kehoach|38,12,38,Cầu Đỏ - HCM_NM_CĐ - Triều Xuống,Cầu Đỏ - Triều Xuống (QC - Mẫu lặp),HCM_NM_CĐ.26.05.12.X.05,2026-05-10T22:54:20
kehoach|39,12,39,Cầu số 1 - HCM_NM_CS1 - Triều Xuống,Cầu số 1 - Triều Xuống (QC - Mẫu lặp),HCM_NM_CS1.26.05.12.X.05,2026-05-10T22:54:33
kehoach|40,12,40,Cầu số 1 - HCM_NM_CS1 - Triều Xuống,Cầu số 1 - Triều Xuống (QC - Mẫu trắng),HCM_NM_CS1.26.05.12.X.08,2026-05-10T22:54:45
kehoach|41,13,41,Cầu TL9 - HCM_NM_CTL9 - Triều Lên,Cầu TL9 - Triều Lên,HCM_NM_CTL9.26.05.13.L,2026-05-10T22:55:00
kehoach|42,13,42,Xuân Thới Sơn - HCM_NM_XTS - Triều Lên,Xuân Thới Sơn - Triều Lên,HCM_NM_XTS.26.05.13.L,2026-05-10T22:55:13
kehoach|43,13,43,Cầu Lớn - HCM_NM_CLo - Triều Lên,Cầu Lớn - Triều Lên,HCM_NM_CLo.26.05.13.L,2026-05-10T22:55:25
kehoach|44,13,44,An Hạ - HCM_NM_AH - Triều Lên,An Hạ - Triều Lên,HCM_NM_AH.26.05.13.L,2026-05-10T22:55:38
kehoach|45,13,45,Rau Răm - HCM_NM_RR - Triều Lên,Rau Răm - Triều Lên,HCM_NM_RR.26.05.13.L,2026-05-10T22:55:51
kehoach|46,13,46,Cầu TL9 - HCM_NM_CTL9 - Triều Xuống,Cầu TL9 - Triều Xuống,HCM_NM_CTL9.26.05.13.X,2026-05-10T22:56:03
kehoach|47,13,47,Xuân Thới Sơn - HCM_NM_XTS - Triều Xuống,Xuân Thới Sơn - Triều Xuống,HCM_NM_XTS.26.05.13.X,2026-05-10T22:56:16
kehoach|48,13,48,Cầu Lớn - HCM_NM_CLo - Triều Xuống,Cầu Lớn - Triều Xuống,HCM_NM_CLo.26.05.13.X,2026-05-10T22:56:29
kehoach|49,13,49,An Hạ - HCM_NM_AH - Triều Xuống,An Hạ - Triều Xuống,HCM_NM_AH.26.05.13.X,2026-05-10T22:56:41
kehoach|50,13,50,Rau Răm - HCM_NM_RR - Triều Xuống,Rau Răm - Triều Xuống,HCM_NM_RR.26.05.13.X,2026-05-10T22:56:54
kehoach|51,13,51,Rau Răm - HCM_NM_RR - Triều Xuống,Rau Răm - Triều Xuống (QC - Mẫu lặp),HCM_NM_RR.26.05.13.X.05,2026-05-10T22:57:07
kehoach|52,14,52,Cống Vàm Thuật - HCM_NM_VT - Triều Lên,Cống Vàm Thuật - Triều Lên,HCM_NM_VT.26.05.14.L,2026-05-10T22:57:22
kehoach|53,14,53,An Lộc - HCM_NM_AL - Triều Lên,An Lộc - Triều Lên,HCM_NM_AL.26.05.14.L,2026-05-10T22:57:34
kehoach|54,14,54,Bến Cát - HCM_NM_BCa - Triều Lên,Bến Cát - Triều Lên,HCM_NM_BCa.26.05.14.L,2026-05-10T22:57:47
kehoach|55,14,55,Trường Đai - HCM_NM_TĐ - Triều Lên,Trường Đai - Triều Lên,HCM_NM_TĐ.26.05.14.L,2026-05-10T22:58:00
kehoach|56,14,56,Cống Vàm Thuật - HCM_NM_VT - Triều Xuống,Cống Vàm Thuật - Triều Xuống,HCM_NM_VT.26.05.14.X,2026-05-10T22:58:12
kehoach|57,14,57,An Lộc - HCM_NM_AL - Triều Xuống,An Lộc - Triều Xuống,HCM_NM_AL.26.05.14.X,2026-05-10T22:58:25
kehoach|58,14,58,Bến Cát - HCM_NM_BCa - Triều Xuống,Bến Cát - Triều Xuống,HCM_NM_BCa.26.05.14.X,2026-05-10T22:58:38
kehoach|59,14,59,Trường Đai - HCM_NM_TĐ - Triều Xuống,Trường Đai - Triều Xuống,HCM_NM_TĐ.26.05.14.X,2026-05-10T22:58:51
kehoach|60,14,60,Cống Vàm Thuật - HCM_NM_VT - Triều Xuống,Cống Vàm Thuật - Triều Xuống (QC - Mẫu lặp),HCM_NM_VT.26.05.14.X.05,2026-05-10T22:59:03
kehoach|61,14,61,Cống Vàm Thuật - HCM_NM_VT - Triều Lên,Cống Vàm Thuật - Triều Lên (QC - Mẫu lặp),HCM_NM_VT.26.05.14.L.05,2026-05-10T22:59:16
kehoach|62,14,62,Cống Vàm Thuật - HCM_NM_VT - Triều Lên,Cống Vàm Thuật - Triều Lên (QC - Mẫu trắng),HCM_NM_VT.26.05.14.L.07,2026-05-10T22:59:29
kehoach|63,15,63,Chợ Cầu - HCM_NM_CC - Triều Lên,Chợ Cầu - Triều Lên,HCM_NM_CC.26.05.15.L,2026-05-10T22:59:44
kehoach|64,15,64,Tham Lương - HCM_NM_TL - Triều Lên,Tham Lương - Triều Lên,HCM_NM_TL.26.05.15.L,2026-05-10T22:59:56
kehoach|65,15,65,Cầu Bưng - HCM_NM_CB - Triều Lên,Cầu Bưng - Triều Lên,HCM_NM_CB.26.05.15.L,2026-05-10T23:00:09
kehoach|66,15,66,CN1 - HCM_NM_CN1 - Triều Lên,CN1 - Triều Lên,HCM_NM_CN1.26.05.15.L,2026-05-10T23:00:22
kehoach|67,15,67,Chợ Cầu - HCM_NM_CC - Triều Xuống,Chợ Cầu - Triều Xuống,HCM_NM_CC.26.05.15.X,2026-05-10T23:00:34
kehoach|68,15,68,Tham Lương - HCM_NM_TL - Triều Xuống,Tham Lương - Triều Xuống,HCM_NM_TL.26.05.15.X,2026-05-10T23:00:47
kehoach|69,15,69,Cầu Bưng - HCM_NM_CB - Triều Xuống,Cầu Bưng - Triều Xuống,HCM_NM_CB.26.05.15.X,2026-05-10T23:01:00
kehoach|70,15,70,CN1 - HCM_NM_CN1 - Triều Xuống,CN1 - Triều Xuống,HCM_NM_CN1.26.05.15.X,2026-05-10T23:01:13
kehoach|71,15,71,CN1 - HCM_NM_CN1 - Triều Lên,CN1 - Triều Lên (QC - Mẫu lặp),HCM_NM_CN1.26.05.15.L.05,2026-05-10T23:01:25
kehoach|72,15,72,Chợ Cầu - HCM_NM_CC - Triều Lên,Chợ Cầu - Triều Lên (QC - Mẫu lặp),HCM_NM_CC.26.05.15.L.05,2026-05-10T23:01:38
kehoach|73,15,73,Chợ Cầu - HCM_NM_CC - Triều Lên,Chợ Cầu - Triều Lên (QC - Mẫu trắng),HCM_NM_CC.26.05.15.L.08,2026-05-10T23:01:51
kehoach|74,19,74,GCNM2 - HCM_NM_GCNM2 - 01,GCNM2 - 01,HCM_NM_GCNM2.26.05.19.01,2026-05-10T23:02:05
kehoach|75,19,75,GCNM3 - HCM_NM_GCNM3 - 01,GCNM3 - 01,HCM_NM_GCNM3.26.05.19.01,2026-05-10T23:02:18
kehoach|76,19,76,Cầu Bình Thuận - HCM_NM_BT2 - Triều Lên,Cầu Bình Thuận - Triều Lên,HCM_NM_BT2.26.05.19.L,2026-05-10T23:02:31
kehoach|77,19,77,Nước Đen - HCM_NM_NĐ - Triều Lên,Nước Đen - Triều Lên,HCM_NM_NĐ.26.05.19.L,2026-05-10T23:02:43
kehoach|78,19,78,Cầu Sông Chùa - HCM_NM_CSC - Triều Lên,Cầu Sông Chùa - Triều Lên,HCM_NM_CSC.26.05.19.L,2026-05-10T23:02:56
kehoach|79,19,79,GCNM2 - HCM_NM_GCNM2 - 02,GCNM2 - 02,HCM_NM_GCNM2.26.05.19.02,2026-05-10T23:03:09
kehoach|80,19,80,GCNM3 - HCM_NM_GCNM3 - 02,GCNM3 - 02,HCM_NM_GCNM3.26.05.19.02,2026-05-10T23:03:21
kehoach|81,19,81,Cầu Bình Thuận - HCM_NM_BT2 - Triều Xuống,Cầu Bình Thuận - Triều Xuống,HCM_NM_BT2.26.05.19.X,2026-05-10T23:03:34
kehoach|82,19,82,Nước Đen - HCM_NM_NĐ - Triều Xuống,Nước Đen - Triều Xuống,HCM_NM_NĐ.26.05.19.X,2026-05-10T23:03:47
kehoach|83,19,83,Cầu Sông Chùa - HCM_NM_CSC - Triều Xuống,Cầu Sông Chùa - Triều Xuống,HCM_NM_CSC.26.05.19.X,2026-05-10T23:04:00
kehoach|84,20,84,Cầu Bà Tri - HCM_NM_CBT - Triều Lên,Cầu Bà Tri - Triều Lên,HCM_NM_CBT.26.05.20.L,2026-05-10T23:04:15
kehoach|85,20,85,Tân Tạo - HCM_NM_TTa - Triều Lên,Tân Tạo - Triều Lên,HCM_NM_TTa.26.05.20.L,2026-05-10T23:04:27
kehoach|86,20,86,Kênh C - HCM_NM_KC - Triều Lên,Kênh C - Triều Lên,HCM_NM_KC.26.05.20.L,2026-05-10T23:04:40
kehoach|87,20,87,Kênh C6 - HCM_NM_KC6 - Triều Lên,Kênh C6 - Triều Lên,HCM_NM_KC6.26.05.20.L,2026-05-10T23:04:53
kehoach|88,20,88,Kênh C8 - HCM_NM_KC8 - Triều Lên,Kênh C8 - Triều Lên,HCM_NM_KC8.26.05.20.L,2026-05-10T23:05:06
kehoach|89,20,89,Cầu Bà Tri - HCM_NM_CBT - Triều Xuống,Cầu Bà Tri - Triều Xuống,HCM_NM_CBT.26.05.20.X,2026-05-10T23:05:18
kehoach|90,20,90,Tân Tạo - HCM_NM_TTa - Triều Xuống,Tân Tạo - Triều Xuống,HCM_NM_TTa.26.05.20.X,2026-05-10T23:05:31
kehoach|91,20,91,Kênh C - HCM_NM_KC - Triều Xuống,Kênh C - Triều Xuống,HCM_NM_KC.26.05.20.X,2026-05-10T23:05:44
kehoach|92,20,92,Kênh C6 - HCM_NM_KC6 - Triều Xuống,Kênh C6 - Triều Xuống,HCM_NM_KC6.26.05.20.X,2026-05-10T23:05:56
kehoach|93,20,93,Kênh C8 - HCM_NM_KC8 - Triều Xuống,Kênh C8 - Triều Xuống,HCM_NM_KC8.26.05.20.X,2026-05-10T23:06:09
kehoach|94,20,94,Kênh C8 - HCM_NM_KC8 - Triều Lên,Kênh C8 - Triều Lên (QC - Mẫu lặp),HCM_NM_KC8.26.05.20.L.05,2026-05-10T23:06:22
kehoach|95,21,95,Cầu Rạch Ngang - HCM_NM_CRN - Triều Lên,Cầu Rạch Ngang - Triều Lên,HCM_NM_CRN.26.05.21.L,2026-05-10T23:06:37
kehoach|96,21,96,Xóm Củi - HCM_NM_XC - Triều Lên,Xóm Củi - Triều Lên,HCM_NM_XC.26.05.21.L,2026-05-10T23:06:49
kehoach|97,21,97,Ông Lớn - HCM_NM_OL - Triều Lên,Ông Lớn - Triều Lên,HCM_NM_OL.26.05.21.L,2026-05-10T23:07:02
kehoach|98,21,98,Cần Giuộc - HCM_NM_CG - Triều Lên,Cần Giuộc - Triều Lên,HCM_NM_CG.26.05.21.L,2026-05-10T23:07:15
kehoach|99,21,99,Cầu Rạch Ngang - HCM_NM_CRN - Triều Xuống,Cầu Rạch Ngang - Triều Xuống,HCM_NM_CRN.26.05.21.X,2026-05-10T23:07:28
kehoach|100,21,100,Xóm Củi - HCM_NM_XC - Triều Xuống,Xóm Củi - Triều Xuống,HCM_NM_XC.26.05.21.X,2026-05-10T23:07:40
kehoach|101,21,101,Ông Lớn - HCM_NM_OL - Triều Xuống,Ông Lớn - Triều Xuống,HCM_NM_OL.26.05.21.X,2026-05-10T23:07:53
kehoach|102,21,102,Cần Giuộc - HCM_NM_CG - Triều Xuống,Cần Giuộc - Triều Xuống,HCM_NM_CG.26.05.21.X,2026-05-10T23:08:05
kehoach|103,21,103,Cầu Rạch Ngang - HCM_NM_CRN - Triều Xuống,Cầu Rạch Ngang - Triều Xuống (QC - Mẫu lặp),HCM_NM_CRN.26.05.21.X.05,2026-05-10T23:08:18
kehoach|104,21,104,Cầu Rạch Ngang - HCM_NM_CRN - Triều Xuống,Cầu Rạch Ngang - Triều Xuống (QC - Mẫu trắng),HCM_NM_CRN.26.05.21.X.08,2026-05-10T23:08:30
kehoach|105,22,105,ĐPNM1 - HCM_NM_ĐPNM1 - 01,ĐPNM1 - 01,HCM_NM_ĐPNM1.26.05.22.01,2026-05-10T23:08:44
kehoach|106,22,106,ĐPNM4 - HCM_NM_ĐPNM4 - 01,ĐPNM4 - 01,HCM_NM_ĐPNM4.26.05.22.01,2026-05-10T23:08:57
kehoach|107,22,107,ĐPNM5 - HCM_NM_ĐPNM5 - 01,ĐPNM5 - 01,HCM_NM_ĐPNM5.26.05.22.01,2026-05-10T23:09:09
kehoach|108,22,108,ĐPNM8 - HCM_NM_ĐPNM8 - 01,ĐPNM8 - 01,HCM_NM_ĐPNM8.26.05.22.01,2026-05-10T23:09:21
kehoach|109,22,109,ĐPNM1 - HCM_NM_ĐPNM1 - 02,ĐPNM1 - 02,HCM_NM_ĐPNM1.26.05.22.02,2026-05-10T23:09:34
kehoach|110,22,110,ĐPNM4 - HCM_NM_ĐPNM4 - 02,ĐPNM4 - 02,HCM_NM_ĐPNM4.26.05.22.02,2026-05-10T23:09:46
kehoach|111,22,111,ĐPNM5 - HCM_NM_ĐPNM5 - 02,ĐPNM5 - 02,HCM_NM_ĐPNM5.26.05.22.02,2026-05-10T23:09:59
kehoach|112,22,112,ĐPNM8 - HCM_NM_ĐPNM8 - 02,ĐPNM8 - 02,HCM_NM_ĐPNM8.26.05.22.02,2026-05-10T23:10:12
kehoach|113,26,113,Cầu Gò Công - HCM_NM_CGC - Triều Lên,Cầu Gò Công - Triều Lên,HCM_NM_CGC.26.05.26.L,2026-05-10T23:10:59
kehoach|114,26,114,Cầu Gò Công - HCM_NM_CGC - Triều Xuống,Cầu Gò Công - Triều Xuống,HCM_NM_CGC.26.05.26.X,2026-05-10T23:11:11
kehoach|115,27,115,Hồ Ngọc Lãm - HCM_NM_HNL - Triều Lên,Hồ Ngọc Lãm - Triều Lên,HCM_NM_HNL.26.05.27.L,2026-05-10T23:11:26
kehoach|116,27,116,Bình Ðiền - HCM_NM_BĐ - Triều Lên,Bình Ðiền - Triều Lên,HCM_NM_BĐ.26.05.27.L,2026-05-10T23:11:39
kehoach|117,27,117,Chợ Đệm - HCM_NM_CĐe - Triều Lên,Chợ Đệm - Triều Lên,HCM_NM_CĐe.26.05.27.L,2026-05-10T23:11:51
kehoach|118,27,118,Hồ Ngọc Lãm - HCM_NM_HNL - Triều Xuống,Hồ Ngọc Lãm - Triều Xuống,HCM_NM_HNL.26.05.27.X,2026-05-10T23:12:04
kehoach|119,27,119,Bình Ðiền - HCM_NM_BĐ - Triều Xuống,Bình Ðiền - Triều Xuống,HCM_NM_BĐ.26.05.27.X,2026-05-10T23:12:17
kehoach|120,27,120,Chợ Đệm - HCM_NM_CĐe - Triều Xuống,Chợ Đệm - Triều Xuống,HCM_NM_CĐe.26.05.27.X,2026-05-10T23:12:29
kehoach|121,28,121,TBNM15 - HCM_NM_TBNM15 - 01,TBNM15 - 01,HCM_NM_TBNM15.26.05.28.01,2026-05-10T23:12:45
kehoach|122,28,122,TBNM5 - HCM_NM_TBNM5 - 01,TBNM5 - 01,HCM_NM_TBNM5.26.05.28.01,2026-05-10T23:12:57
kehoach|123,28,123,TBNM14 - HCM_NM_TBNM14 - 01,TBNM14 - 01,HCM_NM_TBNM14.26.05.28.01,2026-05-10T23:13:10
kehoach|124,28,124,TBNM9 - HCM_NM_TBNM9 - 01,TBNM9 - 01,HCM_NM_TBNM9.26.05.28.01,2026-05-10T23:13:23
kehoach|125,28,125,TBNM11 - HCM_NM_TBNM11 - 01,TBNM11 - 01,HCM_NM_TBNM11.26.05.28.01,2026-05-10T23:13:36
kehoach|126,28,126,TBNM1 - HCM_NM_TBNM1 - 01,TBNM1 - 01,HCM_NM_TBNM1.26.05.28.01,2026-05-10T23:13:49
kehoach|127,28,127,TBNM15 - HCM_NM_TBNM15 - 02,TBNM15 - 02,HCM_NM_TBNM15.26.05.28.02,2026-05-10T23:14:01
kehoach|128,28,128,TBNM5 - HCM_NM_TBNM5 - 02,TBNM5 - 02,HCM_NM_TBNM5.26.05.28.02,2026-05-10T23:14:15
kehoach|129,28,129,TBNM14 - HCM_NM_TBNM14 - 02,TBNM14 - 02,HCM_NM_TBNM14.26.05.28.02,2026-05-10T23:14:27
kehoach|130,28,130,TBNM9 - HCM_NM_TBNM9 - 02,TBNM9 - 02,HCM_NM_TBNM9.26.05.28.02,2026-05-10T23:14:40
kehoach|131,28,131,TBNM11 - HCM_NM_TBNM11 - 02,TBNM11 - 02,HCM_NM_TBNM11.26.05.28.02,2026-05-10T23:14:53
kehoach|132,28,132,TBNM1 - HCM_NM_TBNM1 - 02,TBNM1 - 02,HCM_NM_TBNM1.26.05.28.02,2026-05-10T23:15:06
